,Symbol,Year,Return,TRI,TB90,MKTCAP,PB
0,TCM,2007,394.1667,34542.6016,3.9,2009.5763,4.8272
1,BB,2007,196.5454,34542.6016,3.9,50392.207,17.3708
2,QUX,2007,52.4324,34542.6016,3.9,914.2384,2.0376
3,TRE,2007,300.0,34542.6016,3.9,2908.6021,2.6323
4,VT,2007,46.1039,34542.6016,3.9,2296.7551,2.1184
5,LNR,2007,89.3727,34542.6016,3.9,1791.8121,2.0731
6,MDI,2007,102.1609,34542.6016,3.9,1035.5814,4.6532
7,ET,2007,112.48,34542.6016,3.9,1918.1101,17.0584
8,SW,2007,89.2187,34542.6016,3.9,662.2232,3.3381
9,NTR,2007,158.3199,34542.6016,3.9,29561.9219,6.0249
10,OIL1,2007,90.413,34542.6016,3.9,2810.2747,5.2046
11,VRS1,2007,325.7028,34542.6016,3.9,622.75,3.6446
12,AXP1,2007,31.8211,34542.6016,3.9,1124.9443,1.5986
13,SVC,2007,,34542.6016,3.9,771.8656,5.4759
14,ELR,2007,80.315,34542.6016,3.9,1528.5818,1.8666
15,AGU,2007,87.9626,34542.6016,3.9,6445.6694,4.0877
16,MG,2007,19.5411,34542.6016,3.9,10483.0146,1.2566
17,AL,2007,109.7164,34542.6016,3.9,38855.332,3.0089
18,NCX,2007,9.1915,34542.6016,3.9,3194.3237,3.4441
19,EQN,2007,120.0,34542.6016,3.9,1972.0448,3.9819
20,IOL,2007,111.3636,34542.6016,3.9,1113.1356,10.144
21,SCL,2007,85.8289,34542.6016,3.9,2491.2971,4.3214
22,SCC,2007,27.5294,34542.6016,3.9,2916.5293,3.4336
23,OTEX,2007,45.727,34542.6016,3.9,1318.462,2.3879
24,EMP.A,2007,12.1356,34542.6016,3.9,1547.3501,1.5353
25,SAP,2007,34.4371,34542.6016,3.9,5194.77,3.6509
26,ACO.X,2007,35.3991,34542.6016,3.9,3264.8979,2.1489
27,AGF.B,2007,60.0913,34542.6016,3.9,3164.165,3.0294
28,BLS1,2007,4.2755,34542.6016,3.9,6353.5815,3.3295
29,RCI.B,2007,68.3509,34542.6016,3.9,30668.1426,7.3387
30,RAL,2007,160.0719,34542.6016,3.9,835.9615,5.8652
31,MRE,2007,115.8667,34542.6016,3.9,1054.7139,1.7795
32,BBD.B,2007,84.5238,34542.6016,3.9,10858.8721,4.2122
33,TA,2007,23.1466,34542.6016,3.9,6067.2183,2.9515
34,CCL.B,2007,45.2274,34542.6016,3.9,1368.5027,2.0202
35,PJC.A,2007,28.6187,34542.6016,3.9,2247.3638,2.0454
36,SVM,2007,37.9562,34542.6016,3.9,925.2305,8.7258
37,ECA,2007,6.7069,34542.6016,3.9,46618.582,2.3927
38,GIB.A,2007,67.1429,34542.6016,3.9,3450.4937,2.0606
39,IMN,2007,83.4194,34542.6016,3.9,4117.6309,3.3158
40,AVM,2007,91.7582,34542.6016,3.9,1229.0734,2.2024
41,UTS,2007,17.8947,34542.6016,3.9,2395.428,5.3025
42,MBT,2007,4.3515,34542.6016,3.9,3192.0798,2.2374
43,NDN,2007,-7.1332,34542.6016,3.9,2996.0974,1.3894
44,CCA,2007,81.8542,34542.6016,3.9,1498.8645,1.9026
45,WTO,2007,26.8475,34542.6016,3.9,6058.8218,6.6205
46,BPO,2007,-6.6652,34542.6016,3.9,9568.5918,2.957
47,CLL,2007,-9.4293,34542.6016,3.9,726.1821,1.7371
48,SJR.B,2007,47.7108,34542.6016,3.9,10594.7002,5.4877
49,S,2007,49.2049,34542.6016,3.9,3724.979,1.399
50,CCO,2007,-5.725,34542.6016,3.9,15094.3896,4.9713
51,WJA,2007,60.5317,34542.6016,3.9,2051.7388,2.5489
52,SOY,2007,49.1285,34542.6016,3.9,862.7849,3.2814
53,FNX,2007,120.6896,34542.6016,3.9,2413.7566,3.4354
54,POW,2007,24.6921,34542.6016,3.9,16397.4785,2.0196
55,CEF.A,2007,-3.3133,34542.6016,3.9,1091.0309,1.0516
56,CM,2007,19.1336,34542.6016,3.9,32034.998,2.8957
57,FTT,2007,55.2983,34542.6016,3.9,5528.5361,3.3116
58,NB1,2007,12.6807,34542.6016,3.9,1744.1893,1.2928
59,PCA1,2007,14.1102,34542.6016,3.9,26340.9336,2.3919
60,ATA,2008,39.04,34992.8008,2.4,671.5371,1.4624
61,BIR,2008,219.25,34992.8008,2.4,1435.1438,2.9372
62,IOL,2008,-11.5591,34992.8008,2.4,1136.4976,5.7316
63,CR,2008,110.6742,34992.8008,2.4,1067.91,1.6085
64,HPX,2008,28.5444,34992.8008,2.4,922.624,1.3032
65,TOG1,2008,183.8667,34992.8008,2.4,2386.6516,2.1461
66,AGU,2008,86.1347,34992.8008,2.4,14185.3096,3.4758
67,PMCS,2008,17.8746,34992.8008,2.4,1998.7028,2.5971
68,PXE,2008,50.8172,34992.8008,2.4,1178.0902,2.9557
69,NVA,2008,13.6364,34992.8008,2.4,1186.5299,1.6271
70,NTR,2008,97.4353,34992.8008,2.4,56345.7031,8.175
71,RUS,2008,3.0191,34992.8008,2.4,1942.6224,2.1252
72,BBD.B,2008,33.0645,34992.8008,2.4,14468.5039,4.8851
73,TLM,2008,3.5872,34992.8008,2.4,19121.1309,2.1333
74,CFP,2008,-12.1359,34992.8008,2.4,1548.5165,0.8747
75,AGI,2008,18.8929,34992.8008,2.4,1182.5964,1.8471
76,TESO,2008,24.8582,34992.8008,2.4,1334.7764,3.7403
77,TXP,2008,50.1761,34992.8008,2.4,3877.1294,5.4579
78,GEA,2008,105.2811,34992.8008,2.4,1284.9156,3.4405
79,GNA,2008,21.9512,34992.8008,2.4,6491.3252,1.4825
80,BNK,2008,304.1667,34992.8008,2.4,885.1299,7.5475
81,STE,2008,92.6241,34992.8008,2.4,1180.5229,2.3871
82,CLS,2008,42.9253,34992.8008,2.4,1793.514,0.8929
83,ARE,2008,30.2488,34992.8008,2.4,851.7207,2.5575
84,CMT,2008,-6.4182,34992.8008,2.4,1177.5142,1.3477
85,CLL,2008,12.3288,34992.8008,2.4,865.2106,1.8701
86,CNQ,2008,25.5576,34992.8008,2.4,49019.0195,3.6022
87,CSU,2008,13.4179,34992.8008,2.4,498.668,6.6142
88,HSE,2008,21.1355,34992.8008,2.4,39861.0703,3.0938
89,NXY,2008,12.6989,34992.8008,2.4,17655.6055,2.6526
90,RBA,2008,24.1593,34992.8008,2.4,2963.7739,5.8979
91,AXC,2008,16.5805,34992.8008,2.4,6350.7466,2.7788
92,TYK,2008,41.0935,34992.8008,2.4,1491.0961,4.0275
93,ESI,2008,29.2432,34992.8008,2.4,3661.147,2.6623
94,VT,2008,8.8889,34992.8008,2.4,2903.8501,1.452
95,GRT.UN,2008,-32.8559,34992.8008,2.4,1050.9301,0.5525
96,TIH,2008,25.5311,34992.8008,2.4,2115.9451,3.0269
97,QEC,2008,223.2558,34992.8008,2.4,548.4495,3.9494
98,QUX,2008,0.1773,34992.8008,2.4,1117.9712,1.1933
99,EMP.A,2008,-5.9452,34992.8008,2.4,1469.3582,1.3573
100,CIGI,2008,-45.1066,34992.8008,2.4,491.5575,1.6199
101,BPO,2008,-7.5362,34992.8008,2.4,8763.8555,2.9018
102,OTEX,2008,43.7548,34992.8008,2.4,1931.4788,2.8826
103,RBI1,2008,22.3214,34992.8008,2.4,1292.4991,2.4035
104,WFT,2008,0.5128,34992.8008,2.4,1564.864,0.8253
105,BB,2008,43.4098,34992.8008,2.4,73085.6406,15.6306
106,GO2,2008,-12.1739,34992.8008,2.4,1044.1118,1.6806
107,ROC,2008,32.3268,34992.8008,2.4,2029.2607,2980.0
108,TRE,2008,11.1111,34992.8008,2.4,3276.6401,2.5778
109,DII.B,2008,8.336,34992.8008,2.4,1128.4846,1.0484
110,SNC,2008,28.0193,34992.8008,2.4,7994.6792,8.1305
111,AGI2,2008,8.8496,34992.8008,2.4,586.9191,3.5201
112,ONEX,2008,-17.4855,34992.8008,2.4,3514.1624,2.1107
113,IMG,2008,-0.4267,34992.8008,2.4,2069.459,1.0757
114,MRU,2008,-15.5695,34992.8008,2.4,3257.272,1.6298
115,SU,2008,28.5412,34992.8008,2.4,56803.0664,4.184
116,ELD,2008,61.9962,34992.8008,2.4,2917.3196,5.4628
117,PRE,2008,46.0452,34992.8008,2.4,2173.9023,1.5071
118,CEF.A,2008,17.9647,34992.8008,2.4,1596.8523,0.9204
119,SJR.B,2008,-6.6069,34992.8008,2.4,9814.6426,4.5483
120,BCB,2009,247.5247,28923.5195,0.2,570.7702,1.4354
121,CAS,2009,1.8598,28923.5195,0.2,693.5919,0.5302
122,BLS1,2009,62.1502,28923.5195,0.2,3011.356,1.2671
123,CCT,2009,176.1259,28923.5195,0.2,1103.1102,4.5714
124,GRT.UN,2009,-34.8444,28923.5195,0.2,684.7393,0.3946
125,IMX,2009,35.0394,28923.5195,0.2,628.6058,19.6938
126,FFH,2009,59.7339,28923.5195,0.2,6254.7456,1.0831
127,FNX,2009,-40.6452,28923.5195,0.2,800.975,2.2032
128,DC.A,2009,-27.2792,28923.5195,0.2,857.0057,0.8269
129,DW1,2009,-24.0,28923.5195,0.2,1352.9553,1.6162
130,ATD.B,2009,44.3077,28923.5195,0.2,3446.6606,2.2637
131,CS,2009,-6.3658,28923.5195,0.2,544.6384,1.8202
132,PRE,2009,20.3095,28923.5195,0.2,2663.8655,1.7698
133,GMP,2009,-4.3296,28923.5195,0.2,877.637,3.427
134,NGD,2009,-33.5714,28923.5195,0.2,1325.183,0.7471
135,TCM,2009,-24.3844,28923.5195,0.2,1549.7383,1.6648
136,TKO,2009,-17.9567,28923.5195,0.2,482.574,1.8428
137,RMX,2009,81.5217,28923.5195,0.2,642.3812,4.4321
138,LUN,2009,-26.7717,28923.5195,0.2,2155.4937,0.6965
139,MRE,2009,-1.6438,28923.5195,0.2,602.5887,1.1276
140,BNK,2009,-18.5567,28923.5195,0.2,885.0291,4.3226
141,LGF,2009,-32.6985,28923.5195,0.2,841.3922,5.629
142,PMCS,2009,4.1261,28923.5195,0.2,2239.1658,2.5504
143,JAG1,2009,47.8621,28923.5195,0.2,836.1,2.7933
144,LLL,2009,7.021,28923.5195,0.2,1081.9133,8.4196
145,AFN,2009,9.9317,28923.5195,0.2,416.7201,2.8114
146,GC,2009,-17.9907,28923.5195,0.2,576.6509,1.4066
147,RY,2009,15.7949,28923.5195,0.2,79720.3438,2.5883
148,TECK.B,2009,-40.4418,28923.5195,0.2,15547.7813,1.1494
149,FRG,2009,25.4098,28923.5195,0.2,545.1144,1.2239
150,,2009,22.8509,28923.5195,0.2,9868.207,1.8903
151,SEA,2009,88.8206,28923.5195,0.2,1153.0942,11.7114
152,HBM,2009,-21.4153,28923.5195,0.2,1294.6428,0.7733
153,SMF,2009,67.9389,28923.5195,0.2,551.4276,2.0477
154,HCG,2009,11.6064,28923.5195,0.2,1326.1093,2.5978
155,IMG,2009,81.7143,28923.5195,0.2,4672.209,1.8573
156,S,2009,-29.4241,28923.5195,0.2,1975.8101,0.5507
157,SVM,2009,-9.2342,28923.5195,0.2,651.1957,3.6169
158,TXP,2009,-13.3902,28923.5195,0.2,3747.8853,2.4417
159,SCL,2009,-14.2082,28923.5195,0.2,1782.3596,2.3863
160,PDN,2009,-16.8561,28923.5195,0.2,2738.0183,3.9876
161,QBR.B,2009,-12.8839,28923.5195,0.2,1587.3436,1.5496
162,TD,2009,8.9329,28923.5195,0.2,57903.9414,1.6807
163,MFL,2009,16.7857,28923.5195,0.2,580.8845,5.0906
164,CEE,2009,46.5347,28923.5195,0.2,1469.5077,3.3184
165,FGL,2009,13.4286,28923.5195,0.2,486.514,1.4838
166,TRQ,2009,1.4226,28923.5195,0.2,4583.2715,17.4539
167,FM,2009,-5.3577,28923.5195,0.2,5080.7466,2.3569
168,AGI2,2009,57.0732,28923.5195,0.2,1047.0222,3.5078
169,MAXR,2009,2.1776,28923.5195,0.2,1234.6553,2.2263
170,CTC.A,2009,5.7995,28923.5195,0.2,4664.9668,1.3063
171,KHD,2009,8.7794,28923.5195,0.2,729.7988,1.5059
172,CLS,2009,3.5595,28923.5195,0.2,1858.4418,1.3656
173,ELF,2009,-27.3504,28923.5195,0.2,1708.0751,0.7484
174,MX,2009,-27.3536,28923.5195,0.2,1804.0076,1.3345
175,RBI1,2009,65.9854,28923.5195,0.2,2617.2751,3.1174
176,GIL,2009,-9.5104,28923.5195,0.2,2727.5781,2.8906
177,IMN,2009,-25.7858,28923.5195,0.2,2662.8286,1.1852
178,SAP,2009,0.0363,28923.5195,0.2,5706.4883,2.9746
179,CCO,2009,-8.7977,28923.5195,0.2,11436.374,2.7011
180,SMF,2010,297.2727,32246.9805,0.67,2348.9092,5.1475
181,MG,2010,67.4194,32246.9805,0.67,9398.9492,1.1574
182,CG,2010,132.093,32246.9805,0.67,3520.1357,3.0357
183,ANV,2010,182.8054,32246.9805,0.67,2203.2925,4.094
184,TCW,2010,40.4339,32246.9805,0.67,2042.8405,2.2483
185,UFS,2010,65.2623,32246.9805,0.67,2702.5198,0.9625
186,CFW,2010,91.5323,32246.9805,0.67,1022.9078,2.1908
187,ELD,2010,85.3097,32246.9805,0.67,11444.5479,3.7479
188,WFT,2010,45.1372,32246.9805,0.67,1481.0438,0.9303
189,PSI,2010,12.9187,32246.9805,0.67,961.7142,3.0796
190,BHC,2010,74.3388,32246.9805,0.67,3868.2053,2.709
191,NTR,2010,61.5559,32246.9805,0.67,46565.6016,6.7125
192,CLT,2010,44.5006,32246.9805,0.67,1028.7058,2.5442
193,DDC,2010,67.1339,32246.9805,0.67,899.1815,1.151
194,LNR,2010,45.5118,32246.9805,0.67,1195.693,1.4556
195,GNA,2010,47.044,32246.9805,0.67,5070.5234,1.6607
196,DC.A,2010,9.5238,32246.9805,0.67,761.2998,0.7968
197,OSK1,2010,98.1844,32246.9805,0.67,5250.6577,3.7146
198,BIR,2010,34.0298,32246.9805,0.67,1121.2526,1.9766
199,PRE,2010,102.1704,32246.9805,0.67,6643.2441,3.4725
200,EQN,2010,74.359,32246.9805,0.67,3368.8184,4.0339
201,FFH,2010,13.6251,32246.9805,0.67,8427.0986,1.0419
202,OGC,2010,305.8824,32246.9805,0.67,787.2838,1.6303
203,UTS,2010,97.7654,32246.9805,0.67,1680.4603,1.953
204,ATD.B,2010,22.0149,32246.9805,0.67,4244.291,2.4091
205,NGD,2010,81.4516,32246.9805,0.67,2643.7542,1.4045
206,WPM,2010,111.3357,32246.9805,0.67,8271.9873,4.2177
207,RET.A,2010,24.0264,32246.9805,0.67,1242.6372,2.4158
208,ASR,2010,209.4017,32246.9805,0.67,1004.9047,9.1426
209,OTEX,2010,21.7324,32246.9805,0.67,2668.2056,2.8379
210,CCT,2010,86.4611,32246.9805,0.67,2537.4177,4.7504
211,PXX,2010,83.7349,32246.9805,0.67,832.209,1.8952
212,BIN,2010,70.839,32246.9805,0.67,2786.4309,2.5776
213,CEE,2010,93.9189,32246.9805,0.67,2950.7732,6.2108
214,WN,2010,43.0249,32246.9805,0.67,10533.7051,1.7097
215,UUU,2010,43.6735,32246.9805,0.67,2068.28,1.392
216,CR,2010,167.8571,32246.9805,0.67,1321.8545,2.1099
217,FRG,2010,72.549,32246.9805,0.67,955.5575,1.9782
218,NMC,2010,48.8848,32246.9805,0.67,1141.579,2.6129
219,T,2010,29.6024,32246.9805,0.67,14106.3965,1.7827
220,RUS,2010,16.6768,32246.9805,0.67,1140.2471,1.4719
221,LLL,2010,59.6355,32246.9805,0.67,1747.2556,9.1515
222,ABX,2010,32.2128,32246.9805,0.67,49234.6445,2.8269
223,RBI1,2010,179.9472,32246.9805,0.67,8174.0049,5.1648
224,CP,2010,19.8207,32246.9805,0.67,10594.791,2.1704
225,WTN,2010,51.5151,32246.9805,0.67,1380.7804,1.6291
226,SU,2010,-3.5234,32246.9805,0.67,50473.6602,1.4578
227,CNR,2010,22.9592,32246.9805,0.67,30296.2461,2.6097
228,TLM,2010,-4.7159,32246.9805,0.67,17096.4648,1.4739
229,AEM,2010,10.5909,32246.9805,0.67,11619.5,3.0689
230,L,2010,30.797,32246.9805,0.67,12108.9863,1.8526
231,CCL.B,2010,39.8274,32246.9805,0.67,1019.0751,1.3351
232,FTT,2010,27.7916,32246.9805,0.67,3522.9275,2.6229
233,PMG,2010,130.6617,32246.9805,0.67,2463.4963,3.6429
234,AGU,2010,41.8338,32246.9805,0.67,11686.2598,2.1864
235,TCL.A,2010,27.8947,32246.9805,0.67,982.2266,0.9013
236,PMCS,2010,-26.1749,32246.9805,0.67,1653.0656,1.6302
237,MAXR,2010,52.918,32246.9805,0.67,1910.8595,3.2151
238,CFP,2010,49.0843,32246.9805,0.67,1160.9537,0.815
239,TFII,2010,23.6573,32246.9805,0.67,921.1052,1.6481
240,BTO,2011,95.7895,35183.7109,0.89,1275.3625,4.0915
241,NEM,2011,130.5913,35183.7109,0.89,1076.1875,3.0003
242,ASR,2011,52.0718,35183.7109,0.89,3056.4971,2.3915
243,MFL,2011,61.687,35183.7109,0.89,1292.0797,4.0977
244,ATP,2011,13.5378,35183.7109,0.89,1041.9507,2.6021
245,NGD,2011,97.037,35183.7109,0.89,5983.5664,2.9059
246,NSU,2011,34.2,35183.7109,0.89,1328.1996,5.3543
247,CFW,2011,44.8421,35183.7109,0.89,1508.1718,2.6483
248,EDR,2011,202.3256,35183.7109,0.89,982.9228,5.9911
249,CVE,2011,23.3879,35183.7109,0.89,26667.3945,3.0231
250,MTL,2011,55.5876,35183.7109,0.89,1726.1863,2.5748
251,TET,2011,144.6154,35183.7109,0.89,2301.0532,5.9169
252,FR,2011,376.5182,35183.7109,0.89,2458.5271,8.6032
253,PD,2011,104.491,35183.7109,0.89,3769.8757,1.8833
254,LLL,2011,205.5936,35183.7109,0.89,5788.4233,17.8723
255,CCA,2011,29.1178,35183.7109,0.89,1529.6586,2.2724
256,DAY,2011,-13.2821,35183.7109,0.89,1681.3239,1.4242
257,KL,2011,130.5652,35183.7109,0.89,1395.4139,7.5597
258,POU,2011,67.4055,35183.7109,0.89,2627.1968,3.2823
259,PPL,2011,30.051,35183.7109,0.89,4271.4946,4.3712
260,AGI,2011,50.5236,35183.7109,0.89,1991.5608,1.9886
261,TCW,2011,58.8483,35183.7109,0.89,3294.7092,2.9297
262,KEY,2011,55.9374,35183.7109,0.89,3258.8843,4.8123
263,PRQ1,2011,8.0068,35183.7109,0.89,2931.1025,1.6153
264,CPG,2011,18.3755,35183.7109,0.89,12194.0713,2.2783
265,DGC,2011,15.3532,35183.7109,0.89,3619.3643,3.247
266,YRI,2011,43.5185,35183.7109,0.89,11556.2295,1.638
267,RGL,2011,42.5756,35183.7109,0.89,4063.9917,2.8698
268,AGU,2011,13.1044,35183.7109,0.89,13244.4873,2.2498
269,TA,2011,4.212,35183.7109,0.89,4907.5469,1.8048
270,BHC,2011,79.9918,35183.7109,0.89,13084.9131,2.9293
271,K,2011,-5.5463,35183.7109,0.89,19354.252,1.3367
272,TOU,2011,,35183.7109,0.89,5161.8496,2.6121
273,PVE,2011,26.7964,35183.7109,0.89,2293.0815,4.286
274,BTE,2011,44.206,35183.7109,0.89,5863.2139,5.2899
275,WJA,2011,22.1834,35183.7109,0.89,1937.4708,1.4797
276,PJC.A,2011,38.8571,35183.7109,0.89,1349.4288,4.631
277,IFC,2011,24.155,35183.7109,0.89,6029.5215,2.0495
278,FCR,2011,13.7228,35183.7109,0.89,2857.4529,1.3851
279,PXX,2011,65.9016,35183.7109,0.89,1440.6816,2.8194
280,TDG,2011,62.2,35183.7109,0.89,980.1705,1.2595
281,NTR,2011,7.8854,35183.7109,0.89,48321.3516,6.4258
282,PRE,2011,-4.2147,35183.7109,0.89,6538.9653,2.8225
283,FTT,2011,21.4078,35183.7109,0.89,4290.9956,3.3825
284,WPM,2011,61.3722,35183.7109,0.89,13711.4023,5.8089
285,FNV,2011,32.6312,35183.7109,0.89,5347.8311,2.2418
286,PEY,2011,56.7069,35183.7109,0.89,2937.9934,3.4842
287,BIR,2011,50.6682,35183.7109,0.89,1713.8207,2.7056
288,PMG,2011,23.4747,35183.7109,0.89,3162.312,3.5117
289,SJR.B,2011,2.4234,35183.7109,0.89,9771.3389,3.488
290,DOL,2011,29.4466,35183.7109,0.89,2413.9141,3.2602
291,PAAS,2011,21.3504,35183.7109,0.89,3471.4258,2.3327
292,CG,2011,37.7422,35183.7109,0.89,4868.4585,3.6789
293,MFC,2011,12.8054,35183.7109,0.89,23938.9277,1.0422
294,CR,2011,-27.2727,35183.7109,0.89,1435.1365,1.1014
295,DC.A,2011,98.9352,35183.7109,0.89,1383.8992,0.7337
296,ESI,2011,49.0925,35183.7109,0.89,2642.876,1.6565
297,CU,2011,25.7862,35183.7109,0.89,7649.6221,2.4969
298,FFH,2011,-6.6187,35183.7109,0.89,7844.9648,1.142
299,SLF,2011,5.9904,35183.7109,0.89,15404.4619,1.0891
300,PKI,2012,57.481,33696.3086,1.03,1108.0519,3.5858
301,ATD.B,2012,74.8866,33696.3086,1.03,9393.3271,3.7914
302,WFT,2012,30.7692,33696.3086,1.03,2227.875,1.6503
303,CFP,2012,20.8333,33696.3086,1.03,1862.9188,1.7069
304,SPB,2012,-13.6319,33696.3086,1.03,994.2782,2.8204
305,GEI,2012,25.9884,33696.3086,1.03,2174.552,2.4458
306,INE,2012,12.9132,33696.3086,1.03,1020.0204,2.1366
307,VT,2012,54.8944,33696.3086,1.03,5999.6943,1.5367
308,AGU,2012,15.5156,33696.3086,1.03,15331.0342,2.0505
309,WJA,2012,21.5154,33696.3086,1.03,2231.1038,1.6288
310,DOL,2012,81.0687,33696.3086,1.03,4378.7061,4.7668
311,AIM,2012,20.8333,33696.3086,1.03,2496.4736,2.1856
312,FCR,2012,14.994,33696.3086,1.03,3635.7283,1.2876
313,DH,2012,8.3882,33696.3086,1.03,1171.0443,1.6953
314,GIB.A,2012,29.7379,33696.3086,1.03,7003.1147,1.9784
315,WPRT,2012,45.3406,33696.3086,1.03,1912.7157,4.8212
316,RON,2012,29.4058,33696.3086,1.03,1559.8564,0.9195
317,DII.B,2012,38.7124,33696.3086,1.03,1026.1852,0.8106
318,PSN,2012,119.8212,33696.3086,1.03,1196.1779,11.32
319,MAXR,2012,21.3831,33696.3086,1.03,1883.2592,7.5231
